,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
123,12,199036,20000001.0,6.2578223099168016,0.0,0.8790498762799654,   1.4709326862917789      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
124,12,199036,20000001.0,7.007771611591015,0.0,0.7699298705279478,   1.4083368244114025      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
125,12,199036,20000001.0,7.989609182538707,0.0,0.24204203978712535,  0.95837173261734343      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
126,12,199036,20000001.0,8.347058454740063,0.0,0.12162162670883643,  0.76214699061432500      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
127,12,199036,20000001.0,8.844448889248008,0.0,0.17856099500784164,  0.86649666877555798      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
128,12,199036,20000001.0,9.28206070651595,0.0,0.056921900841073,  0.59199690170108221      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
129,12,199036,20000001.0,9.615754271134131,0.0,0.07750956497458218,  0.65630147133537897      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
130,13,199935,20000001.0,0.1239366801783588,1443.0292705321078,1448.2078175084064,   2.6818936362015813      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
131,13,199935,20000001.0,6.942412981253808,0.0,3.9143676761434936,   2.4225476211167427      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
132,13,199935,20000001.0,8.17180846186259,0.0,3.25192062857081,   2.2781122209085112      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
133,13,199935,20000001.0,10.307262653521775,0.0,2.191557957412385,   1.9978842189236554      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
134,13,199935,20000001.0,11.5912682023884,0.0,1.6621970734725735,   1.8227986065008124      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
135,13,199935,20000001.0,12.554073141524189,0.0,1.3233270103095027,   1.6895580378284398      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
136,13,199935,20000001.0,13.957085609160158,0.0,0.6457847589607149,   1.3305871763370789      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
137,13,199935,20000001.0,15.125898169830716,0.0,0.4860797504777237,   1.2106086774564244      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
138,13,199935,20000001.0,16.355453328313082,0.0,0.4468433581993517,   1.1774217415171275      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
139,13,199935,20000001.0,19.356829937950266,0.0,0.06298611804145147,  0.61293512596974442      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
